Organization,2006,2007,2008,2009,2010,2011,2012
Revenue - CEYPETCO,19766.56,238364.36,341670.33,237662.62,256329.16,356442.36,512910.31
Expenditure - CEYPETCO,20712.78,235502.02,356622.85,249229.58,283251.98,450950.75,602567.23
Profit/(loss) - CEYPETCO,-946.22,2862.34,-14952.52,-11566.96,-26922.82,-94508.39,-89656.92
Revenue - CEB,79513.00,96779.00,114868.00,113931.00,124926.00,141179.00,170652.00
Operating Expenditure - CEB,85638.00,111591.00,148737.00,125506.00,125284.00,160444.00,231816.00
Operating profit/(loss) - CEB,-6125.00,-14812.00,-33869.00,-11575.00,-358.00,-19265.00,-61164.00
Revenue - SLR,2491.00,2999.30,3671.30,4020.00,4018.00,4235.38,4851.86
Operating Expenditure - SLR,6473.00,7296.70,8224.50,8788.00,7191.00,8295.22,8647.65
Operating profit/(loss) - SLR,-3982.00,-4297.40,-4553.20,-4768.00,-3173.00,-4059.84,-3795.79
Revenue - SLPA,23004.00,25913.00,25142.00,23331.00,28279.00,31085.79,38097.81
Operating Expenditure - SLPA,19385.00,22415.00,22201.00,21390.00,23892.00,30828.92,32886.37
Operating profit/(loss) - SLPA,3619.00,3498.00,2941.00,1941.00,4387.00,256.87,5211.44
Revenue - SLTB,12379.00,14687.00,14361.00,13979.00,21560.00,21019.38,26303.37
Operating Expenditure - SLTB,14921.00,16999.20,20622.00,22005.00,22387.00,24326.10,30124.24
Operating profit/(loss) - SLTB,-2542.00,-2312.20,-6261.00,-8026.00,-827.00,-3306.72,-3820.87
Revenue - SriLankan Airlines,61323.83,72803.10,74673.00,53710.54,67835.06,78921.25,107445.16
Operating Expenditure - SriLankan Airlines,66686.23,75934.81,87081.00,65928.12,74107.31,98002.16,127991.18
Operating profit/(loss) - SriLankan Airlines,-5362.40,-3131.71,-12408.00,-12217.58,-6272.25,-19080.91,-20546.02
